n_estimators,max_depth,learning_rate,rmse
260,3,0.07166717459339209,5.04946612646
240,3,0.101329298972047,5.16936205246
280,2,0.12352053000399908,5.11584238118
180,2,0.09515609977612305,5.01844270288
180,2,0.05897856290163592,5.17274481282
120,3,0.13293450096056975,4.98928318143
180,3,0.15034625122518516,4.94495807187
240,3,0.16652468184338437,4.77980755661
240,4,0.1349142896067534,4.99208030595
60,4,0.05779711869903335,5.28046737219
80,3,0.096765512240338,5.20365562811
180,2,0.056041603712664353,5.17764712976
240,2,0.19424139479155045,5.11666206188
100,4,0.180369865498824,5.18718882566
260,2,0.05218896213163874,5.04314729326
120,4,0.17172038166927706,5.27604273467
80,2,0.07512738498801032,5.19692170645
240,3,0.14887084296549008,5.01837999354
120,3,0.06021105380694956,5.04658026012
140,2,0.1878457427066434,5.22775728916
160,3,0.16221486141729935,5.02806175545
220,3,0.16113161436422874,4.98265275334
200,3,0.14880296609436414,4.92407402526
200,3,0.11460389321975574,5.0207557885
200,3,0.14473251752733032,5.08547037538
200,3,0.17167103395550576,4.92627336363
220,3,0.19524675717905904,4.67163585171
220,3,0.19929853474371173,4.73644652645
220,3,0.1951764669921573,4.69726302248
220,4,0.18417823254783605,5.1984638532
220,3,0.1947338484593625,4.84090854664
220,3,0.1990842675877532,4.88762819733
280,3,0.10890646110571073,5.0804504103
220,3,0.08202015793747496,5.17004317734
160,4,0.17901675000205447,5.26811548847
100,3,0.15571887693465963,5.14928955554
60,3,0.13743838290650368,5.0761189999
140,3,0.12061695270262172,5.23423706449
260,3,0.1902082492871013,4.80285049109
220,4,0.17326889068606918,5.11486632937
280,2,0.12745093742099634,5.26865613464
220,3,0.08999844526579115,5.15927351654
60,3,0.13933021891190697,5.18313915872
180,4,0.17862493834973683,5.21959862878
80,2,0.1993761565797161,5.2631993596
100,3,0.15665825521140564,4.86108472396
260,2,0.16808920112499054,5.17027753754
220,4,0.12927771215266814,5.16535219973
120,3,0.19224189456837273,4.80575963695
140,3,0.10444182839886865,5.17107744188
160,2,0.11844845780615113,4.99365717123
240,3,0.1819396661514262,4.82010511209
180,4,0.0637445003339892,5.20270640241
80,3,0.14288392305587885,5.02914180768
280,2,0.16336738877228554,4.86355564253
220,3,0.1757894486705675,4.91628063111
60,3,0.18505247050380055,4.7249638897
120,4,0.1534934375701723,5.28458005979
100,3,0.16859009786125614,5.10839779701
220,2,0.09401069634287731,5.00858458635
260,3,0.13219092660576776,5.0933826808
240,3,0.19536230771529564,4.70330976745
160,3,0.1878821250305515,5.01209170249
220,4,0.08117033621925697,5.20149686234
180,3,0.16582673714304752,4.8128238264
240,3,0.1940483016829199,4.75439203985
240,3,0.1989773134861997,4.84770456506
240,3,0.1861239497521298,4.83943992265
240,3,0.1966101442666635,4.64907285529
140,3,0.19049453808636166,4.78588168982
240,3,0.17274309929746365,5.06060287723
200,3,0.17650747523533294,5.03338415267
220,3,0.15977723143648165,5.06910160412
80,3,0.19996943310546722,4.84247397819
280,3,0.18049690433488955,4.77302264406
220,2,0.14665699584687814,4.84350021993
60,3,0.1961528362895821,4.70462314585
120,3,0.18338563259918483,4.79269441534
100,4,0.15103599721276526,5.05620128154
220,3,0.18785097840031223,4.92315254694
200,3,0.17047323997828273,5.11215077306
260,2,0.15976986630824588,5.01001283827
160,3,0.11239680988110473,5.02052204764
140,4,0.17720807028258623,5.17229923872
240,3,0.16421327339200734,5.0002797283
220,3,0.06763868360951779,5.05165004304
180,2,0.05075062521011099,5.14930514404
80,3,0.1901452435718231,4.8510973561
220,3,0.14275821144776007,4.93868737836
