n_estimators,max_depth,learning_rate,rmse
240,2,0.10933971206918436,6.99238227788
200,3,0.13769871680479207,7.54253756009
280,2,0.17178546640998876,7.38611749222
140,3,0.07963437123732962,7.83405910782
160,2,0.15646721170491876,9.36012285495
180,3,0.168723900180883,8.6169536713
60,4,0.16317207765766184,9.14108967105
280,2,0.053871746638184226,9.09227183929
160,4,0.1979556186506254,9.33660200552
120,4,0.15074598282961618,9.08785902717
120,4,0.12532703952797625,8.8329765729
140,2,0.08162836114580992,9.12995189641
120,4,0.156333635133376,9.06952194834
80,2,0.059503246422600506,9.39828158859
80,3,0.11646940988192794,8.89554405815
240,2,0.12208115431767257,8.71669858602
220,2,0.12462469560584034,8.70041291924
260,2,0.06752974459855633,8.58692955027
160,4,0.1012348697593334,8.5877698852
160,2,0.1298666701077173,8.97677287648
60,2,0.1749556742194221,8.90655892604
80,4,0.08160006169393322,9.01408681876
140,3,0.06329224748055226,8.37044975553
280,3,0.1782195824035353,8.79199302787
100,3,0.07198204703202951,8.73551421145
260,3,0.09581380239119652,8.90415084927
260,3,0.06514673467647769,8.59443216042
140,3,0.05038783723427734,8.93494693261
200,3,0.0957131691995125,8.83762900547
260,3,0.07562214200984649,8.89643496992
140,2,0.10697532097396022,9.2193826796
100,3,0.14155035111845504,8.84714511931
260,2,0.05079462176184249,9.04482267635
140,2,0.08817961101404335,8.95150680357
180,3,0.06636013048332826,8.72446677073
220,2,0.11321147533274559,8.9813125077
200,3,0.05958369703519922,8.93481153263
240,2,0.08484156797423778,8.84796483815
180,3,0.13871235812039323,8.69811986108
60,2,0.07342409285759813,9.30386039408
140,4,0.05697342711053795,8.91448200378
280,3,0.19604089159784674,8.65631506053
260,2,0.0914794327690758,8.83639617221
140,4,0.10478063177524609,8.79453051314
240,2,0.06753200483238794,8.82073159242
120,3,0.07903302954005714,8.96439141699
220,4,0.05162627176376813,8.73843653454
200,2,0.11245539531564533,8.90861996908
160,2,0.13249726075234877,8.94397543215
260,4,0.1912267531034511,9.48937780944
60,3,0.15036725018841451,8.89691907947
80,2,0.05827304384857359,9.47666841574
100,3,0.09909079243364116,8.49955081474
100,3,0.11743744025217029,8.98306245565
120,3,0.09817010364660997,8.84481996899
100,3,0.15948220339400762,9.10106050833
100,3,0.10758582507611664,8.92518749793
280,3,0.09104258977437486,8.8301687626
100,3,0.12347694383957197,9.24871847236
140,3,0.16700128625970728,8.998531871
180,3,0.08458497351802341,8.8117544611
160,4,0.1469513024062085,9.1220036647
80,3,0.0781651535125356,8.6202025437
100,3,0.06291553606545987,8.56826889919
140,3,0.13356426605871277,8.83348761465
220,4,0.07132129345420044,9.09252402546
240,3,0.10308300067587488,8.64496543336
60,3,0.11733788622139939,9.00835550973
200,3,0.09890503999821165,8.57472082846
100,3,0.06262075891410593,8.6016471381
100,3,0.07056488096173175,8.92988830013
100,3,0.053294239679988385,8.8458892583
100,3,0.09242496827290039,9.16682064719
100,3,0.08528794490734197,8.81088760081
280,3,0.062373446120983306,8.83839431524
140,3,0.07644735273770763,8.95205898314
120,3,0.11024592480052194,8.83200546231
180,3,0.08257811687167282,8.91020037415
100,4,0.05748610735018024,8.66610880235
160,3,0.08789512633051919,8.64914805696
140,3,0.1281241116473196,8.41115457341
140,3,0.12770516501383639,8.88905981834
140,4,0.13981117064456838,9.13677731974
140,3,0.14413305575311253,8.77551440996
140,3,0.12083128759326509,9.33778395825
80,3,0.18165411045466773,8.94718489131
240,3,0.132956313672172,8.79205111562
140,4,0.15137602400649097,9.05947751142
200,3,0.1365714744442592,8.51228636769
220,3,0.12784377970090793,8.68914834233
60,2,0.12041857945187624,9.18628812374
140,3,0.16334942504848188,8.95535603303
120,4,0.1554226736478832,9.12524698049
280,3,0.11344473172490754,8.95507897725
180,3,0.17198964444934853,8.70512226789
260,2,0.10635298104600846,8.89772109257
140,3,0.09723684987814207,9.20022827292
160,3,0.10068368894172551,8.7346038221
80,4,0.10970374672675168,8.6235886427
220,3,0.09363371585652272,9.01586208043
240,2,0.10314524115822202,8.96657218082
140,3,0.18304939948261267,8.86229244576
200,3,0.1365203346646209,8.51697587241
280,3,0.14417037683838163,8.84354365156
120,4,0.11431585188356626,8.8572100083
140,3,0.08801083389621739,8.7494015823
60,2,0.06811547590794201,9.09285397233
260,3,0.08151211060011207,8.73677908791
160,3,0.1256399940353678,8.76847366257
180,3,0.15334477067121324,8.92032161788
140,3,0.07537549889479245,8.67931270312
80,2,0.07979120907550782,9.26709076724
220,4,0.15864021387015606,8.69377017202
100,3,0.11743078207704552,8.85733609966
240,3,0.14602337612706234,8.68632191045
140,3,0.05509248891505489,8.81485226878
200,3,0.13058794428183726,8.6708607126
60,4,0.19933952967454327,9.39007623822
280,2,0.0952475895739323,8.69308920564
100,3,0.16739147229478557,8.95161735397
120,3,0.12193602616050833,9.16409426726
140,3,0.10938217038354894,9.02999008506
180,3,0.05019783475666161,8.71981418174
260,4,0.16293584198614403,9.16373374756
160,2,0.09008655401280033,9.07802467296
140,3,0.14852256505512146,8.74857002739
100,3,0.1415719888205773,8.92675435364
80,3,0.060630632464380274,8.56965686031
240,3,0.18729265004996318,8.99270927982
220,4,0.10196002529381028,8.56603621062
140,2,0.07288212537871254,9.08047959501
200,3,0.1358953706499814,8.80196222276
60,3,0.06895489989975288,9.08580846027
100,3,0.06521975568808301,8.70142077647
280,3,0.1729437288682284,8.83224778581
120,4,0.12620410197580273,8.81277589796
140,2,0.08572122816767291,8.96054723659
260,3,0.11910590859256857,9.06616877541
180,3,0.07594044309497114,8.8492598039
140,3,0.11340373331595706,8.93825414707
160,3,0.10568833441984837,8.80152633601
100,4,0.09913417565828081,8.55852540093
220,2,0.053499877295701936,8.9981637645
140,3,0.1293520418579972,8.76252340614
80,3,0.09259102681684246,8.80391658244
240,3,0.11589648377692366,8.96390055282
200,3,0.11097500807063232,8.97534589935
60,4,0.1951629057393939,9.65610779813
100,2,0.1776124359321424,9.4787412595
200,3,0.1354802393907809,8.62604733268
